Timestamp,Ax,Ay,Az,Rx,Ry,Rz,Temp,Pressure
1886080,6.74538,-0.966484,0.000488,-1.5925,-2.555,-1.05,nan,nan
1886090,7.098448,-0.056364,0.489708,-13.4225,-1.7325,-0.525,nan,nan
1886100,7.0211,-0.324764,0.246196,-14.035,-2.555,-0.42,nan,nan
1886110,7.177504,-0.247416,0.187148,-20.1075,-0.8575,-0.875,nan,nan
1886120,7.434924,-0.167384,0.2379,-29.7675,0.49,-0.1925,nan,nan
1886130,7.473964,-0.13176,0.38674,-20.58,1.7325,0.07,nan,nan
1886140,7.36392,-0.238632,0.314028,-19.495001,3.5525,3.045,nan,nan
1886150,7.21508,-0.69052,0.594872,-16.344999,2.38,0.8925,nan,nan
1886160,7.26754,-0.374784,0.471896,-28.0875,2.38,0.105,nan,nan
1886170,7.288524,0.052216,0.41358,-37.59,-2.6425,-3.7975,nan,nan
1886180,7.282424,0.11346,0.246928,-44.555,-1.365,1.26,nan,nan
1886190,7.50422,-0.485316,0.308416,-29.049999,-2.5725,-5.04,nan,nan
1886200,7.630856,-0.077348,0.331352,-34.299999,3.3775,-1.1375,nan,nan
1886210,7.83728,0.082472,0.287188,-30.502501,8.225,4.27,nan,nan
1886220,7.89584,-0.02074,0.227408,-24.815001,16.344999,7.0525,nan,nan
1886230,7.692344,-0.016592,0.235704,-20.9825,21.192499,9.94,nan,nan
1886240,7.816296,-0.071248,0.198128,-16.555,26.004999,12.565,nan,nan
1886250,7.897548,-0.006344,0.208132,-12.7575,30.747499,14.7175,nan,nan
1886257,7.92634,-0.016348,0.19764,-11.2,32.970001,15.785,nan,nan
1886267,7.84216,-0.000488,0.18788,-6.755,37.52,17.605,nan,nan
1886277,7.931952,-0.020984,0.171776,-1.9425,42.174999,19.67,nan,nan
1886287,7.88974,-0.01098,0.15982,5.04,48.737499,21.9625,nan,nan
1886297,7.867048,0.010492,0.152988,9.6775,52.8325,23.047501,nan,nan
1886307,7.980996,0.0061,0.142008,14.2275,56.490002,24.727501,nan,nan
1886317,7.956108,0.000976,0.140056,18.147499,59.709999,26.040001,nan,nan
1886327,7.946104,0.050264,0.137616,21.77,62.334999,27.264999,nan,nan
1886337,7.991244,0.038796,0.131272,26.3375,64.925003,28.280001,nan,nan
1886347,7.987584,0.026352,0.114924,29.907499,66.9375,29.2775,nan,nan
1886357,7.960988,0.051484,0.101504,33.827499,68.302498,29.872499,nan,nan
1886367,7.97026,0.081496,0.100528,40.6175,69.422501,30.432501,nan,nan
1886377,7.799704,0.041968,0.078568,46.7075,70.402496,30.2225,nan,nan
1886387,7.832156,0.047824,0.055632,52.237499,70.525002,28.174999,nan,nan
1886397,7.93,0.061488,0.033184,55.615002,70.157501,26.705,nan,nan
1886407,7.860216,0.028304,0.02074,60.672501,69.195,25.672501,nan,nan
1886417,7.932928,0.02806,-0.004392,62.720001,67.357498,24.325001,nan,nan
1886427,7.94952,0.027328,-0.044896,63.035,65.747498,23.467501,nan,nan
1886437,7.924144,0.002196,-0.081008,64.067497,64.224998,21.98,nan,nan
1886447,7.891448,-0.000976,-0.086376,65.712502,61.6875,21.280001,nan,nan
1886457,7.953668,0.028792,-0.104432,66.342499,58.974998,20.9475,nan,nan
1886467,7.849724,0.027328,-0.11956,68.915001,54.775002,20.4925,nan,nan
1886477,7.824592,0.056608,-0.133468,71.260002,49.630001,20.055,nan,nan
1886487,7.98734,0.04148,-0.172996,79.940002,42.105,20.334999,nan,nan
1886497,7.992952,0.062464,-0.200324,82.967499,36.715,20.5975,nan,nan
1886507,7.924144,0.064416,-0.19642,88.059998,31.1675,20.754999,nan,nan
1886517,7.95806,0.08662,-0.22936,92.68,25.620001,21.385,nan,nan
1886527,7.97392,0.068808,-0.234972,99.347504,19.389999,20.790001,nan,nan
1886537,7.8141,0.04026,-0.229116,106.837502,13.1075,20.23,nan,nan
1886547,7.821664,0.01098,-0.213744,114.1175,6.3875,20.440001,nan,nan
1886557,7.920484,0.028304,-0.19764,118.5625,-0.3325,20.772499,nan,nan
1886567,7.75676,0.033184,-0.259128,125.964996,-6.1775,21.8925,nan,nan
1886577,7.80678,0.038064,-0.2013,131.354996,-11.69,23.2925,nan,nan
1886587,7.955864,0.01098,-0.175436,139.457504,-20.09,24.9375,nan,nan
1886597,7.8995,0.02684,-0.158112,146.142502,-24.762501,27.702499,nan,nan
1886607,7.75554,0.034892,-0.169336,147.210007,-28.752501,30.2925,nan,nan
1886617,7.819468,0.101016,-0.134932,148.242493,-31.92,33.5825,nan,nan
1886627,7.583276,0.104432,-0.125172,148.154999,-34.825001,34.650002,nan,nan
1886637,7.6067,0.13664,-0.0915,153.544998,-38.43,34.6325,nan,nan
1886647,7.399788,0.094672,-0.058804,160.597504,-40.477501,34.282501,nan,nan
1886657,7.49812,0.167384,-0.081252,166.985001,-42.3675,34.544998,nan,nan
1886667,7.339764,0.168604,-0.044896,173.669998,-43.2075,34.4575,nan,nan
1886677,7.562536,0.1525,-0.010248,179.934998,-43.575001,33.950001,nan,nan
1886687,7.38466,0.142008,0.017812,188.527496,-43.084999,32.830002,nan,nan
1886697,7.479576,0.154452,0.047336,193.759995,-42.4025,32.130001,nan,nan
1886707,7.422724,0.18544,0.0549,198.502502,-40.985001,30.764999,nan,nan
1886717,7.313168,0.179096,0.088084,203.664993,-38.9375,29.487499,nan,nan
1886727,7.192876,0.187148,0.122,207.987503,-36.505001,28.0525,nan,nan
1886737,7.133584,0.184952,0.13542,211.610001,-33.950001,25.0425,nan,nan
1886747,7.12114,0.21594,0.127612,214.375,-30.52,22.4175,nan,nan
